CpDib.StockMst	#주식 현재가 관련데이터 7021
CpDib.MstM	#복수 종목 조회 7059
CpDib.StockMst2	#복수 종목 일괄조회 7059
CpDib.StockCur	#현재가 시간대별 체결 7021,7024
CpDib.StockJpBid2	#매수,매도 10호가 잔량  7021 x
CpDib.StockBid	#호가 잔량 7024
CpDib.StockWeek	#시간대별 체결값 7026
CpDib.StockIndexIR	# 업종코드 관련데이터 7035
CpDib.StockIndexIChart	# 업종코드 관련데이터 7036 x
CpDib.StockIndexIS	# 업종코드 관련데이터 7036 x
CpDib.CpSvr7819	# 증시자금 데이터 7819 x
CpDib.CpSvr7819C	# 6년, 1년 종류별 증시 자금 데이터 7819
CpDib.CpSvr8081	# 종류별 체결강도 8081
CpDib.CpSvr8082	# 종목 업종별 체결강도 8082
CpDib.CpSvr8083	# 종목 시간대별 체결강도 8083
CpDib.CpSvr8092S	# 주식종목 또는 전종목 특징주 포착 8092 x CpMarketWatch와 중복으로 생략
CpDib.CpSvr8300	# 해외지수코드에 대한 과거 데이터 8300
CpDib.CpSvr8311	# 국가 대륙별 지수명, 지수, 등락, 등락률 시,고,저,종 8311 x 시간대별 불필요.
CpDib.CpFore8312	# 주요 세계 증시지수 시단대별 일자별 데이터 8312 x 현재가 불필요
CpDib.CpSvr8561	# 테마별 테마코드 테마명 요청 8561 
CpDib.CpSvr8561T	#테마 종목 조회 데이터 8561 x 8563으로 테마효용성 보고 추후에.. 
CpDib.CpSvr8562	# 종목별 테마 조회 데이터 8562 x 종목코드 입력시 어느테마인지 알려줌
CpDib.CpSvr8563	# 상승율 구분을 두어 테마 데이터 조회 8563

CpSysDib.StockUniCur	# 주식/업종 시세데이터 7321 x 시간외 단일가 정보임
CpSysDib.StockChart	# 주식 업종 차트데이터 수신 7400
CpSysDib.CpMarketWatch	# 특정주식 전종목 특징주 포착 8092 Request/Reply방식
CpSysDib.CpMarketWatchS	#  특정주식 전종목 특징주 포착 8092 watch와 동일 Subscribe/publish방식
CpSysDib.MarketEye	# 주식 지수 등의 여러 종목의 필요 항목 한번에 수신 7059
CpSysDib.WorldCur	# 해외지수 및 환율을 요청 수신 8300
CpSysDib.CpSvr3744	# 입력한 종목들의 지수를 산출 3744

CpSysDib.CpSvr7066	# 시간대별 현재가,총매수잔량, 총매도잔량 7066
CpSysDib.CpSvrNew7215A	# 투자자별 순매도 순매수 순위
CpSysDib.CpSvrNew7215B	# 기관계에 대한 최근일 또는 조회기간 따라 순매수 순매도
CpSysDib.CpSvrNew7216	# 선택종목의 일자별 기관매매 추이 7216
CpSysDib.CpSvrNew7221	# 선택종목의 일자별 기관매매 추이 7221
CpSysDib.CpSvr7254	# 투자자들의 일일 매매동향 7254
CpSysDib.CpSvr8548	# 종목들의 시세와 시가총액, 비중, 외인비중, 영향력,기여도 8548
CpSysDib.StockOpenSb	# 주식의 장운영정보 

CpUtil.CpCybos	# 연결상태
CpUtil.CpStockCode	# 주식코드 조회
CpUtil.CpCodeMgr	# 코드 정보 및 코드리스트
CpUtil.CpUsCode	# 해외종목 코드 조회
